Station ID,Complex ID,GTFS Stop ID,Division,Line,STATION,Borough,Daytime Routes,Structure,GTFS Latitude,GTFS Longitude,North Direction Label,South Direction Label
98,98,M12,BMT,Jamaica,FLUSHING AV,Bk,J M,Elevated,40.70026,-73.941126,Jamaica - Middle Village,Manhattan
447,447,701,IRT,Flushing,FLUSHING-MAIN,Q,7,Subway,40.7596,-73.83003,,Manhattan
213,213,D05,IND,Concourse,FORDHAM RD,Bx,B D,Subway,40.861296,-73.897749,Bedford Pk Blvd & 205 St,Manhattan
382,382,407,IRT,Jerome Av,FORDHAM RD,Bx,4,Elevated,40.862803,-73.901034,Woodlawn,Manhattan
110,110,M05,BMT,Myrtle Av,FOREST AVE,Q,M,Elevated,40.704423,-73.903077,Manhattan,Metropolitan Av
261,261,G08,IND,Queens Blvd,FOREST HILLS 71,Q,E F M R,Subway,40.721691,-73.844521,Jamaica,Manhattan
178,627,A45,IND,8th Av - Fulton St,FRANKLIN AV,Bk,C,Subway,40.68138,-73.956848,Manhattan,Euclid Av
342,626,239,IRT,Eastern Pky,FRANKLIN AV,Bk,2 3 4 5,Subway,40.670682,-73.958131,Manhattan,Flatbush - Utica - New Lots
139,627,S01,BMT,Franklin Shuttle,FRANKLIN AV,Bk,S,Elevated,40.680596,-73.955827,,Prospect Park
326,326,136,IRT,Broadway - 7Av,FRANKLIN ST,M,1,Subway,40.719318,-74.006886,Uptown & The Bronx,Downtown
429,429,216,IRT,Lenox - White Plains Rd,FREEMAN ST,Bx,2 5,Elevated,40.829993,-73.891865,Wakefield - Eastchester,Manhattan
109,109,M04,BMT,Myrtle Av,FRESH POND RD,Q,M,Elevated,40.706186,-73.895877,Manhattan,Metropolitan Av
242,242,F26,IND,6th Av - Culver,FT HAMILTON PKY,Bk,F G,Subway,40.650782,-73.975776,Manhattan - Queens,Church Av - Coney Island
72,72,N03,BMT,Sea Beach,FT HAMILTON PKY,Bk,N,Open Cut,40.631386,-74.005351,Manhattan,Coney Island
60,60,B13,BMT,West End,FT HAMILTON PKY,Bk,D,Elevated,40.640914,-73.994304,Manhattan,Coney Island
172,628,A38,IND,8th Av - Fulton St,FULTON ST,M,A C,Subway,40.710197,-74.007691,Uptown,Brooklyn
332,628,229,IRT,Clark St,FULTON ST,M,2 3,Subway,40.709416,-74.006571,Uptown & The Bronx,Downtown & Brooklyn
292,292,G36,IND,Crosstown,FULTON ST,Bk,G,Subway,40.687119,-73.975375,Queens,Church Av
106,628,M22,BMT,Jamaica,FULTON ST,M,J Z,Subway,40.710374,-74.007582,Brooklyn,Broad St
412,628,418,IRT,Lexington Av,FULTON ST,M,4 5,Subway,40.710368,-74.009509,Uptown & The Bronx,Downtown & Brooklyn
95,95,J30,BMT,Jamaica,GATES AV,Bk,J Z,Elevated,40.68963,-73.92227,Jamaica,Manhattan
122,122,L11,BMT,Canarsie,GRAHAM AV,Bk,L,Subway,40.714565,-73.944053,Manhattan,Canarsie - Rockaway Parkway
340,340,237,IRT,Eastern Pky,GRAND ARMY PLAZ,Bk,2 3,Subway,40.675235,-73.971046,Manhattan,Flatbush - New Lots
231,231,D22,IND,6th Av - Culver,GRAND ST,M,B D,Subway,40.718267,-73.993753,Uptown & The Bronx,Brooklyn
123,123,L12,BMT,Canarsie,GRAND ST,Bk,L,Subway,40.711926,-73.94067,Manhattan,Canarsie - Rockaway Parkway
265,265,G12,IND,Queens Blvd,GRAND-NEWTOWN,Q,M R,Subway,40.737015,-73.877223,Forest Hills,Manhattan
189,189,A57,IND,Liberty Av,GRANT AV,Bk,A,Subway,40.677044,-73.86505,Manhattan,Lefferts - Rockaways
509,509,S23,SIR,Staten Island,GRANT CITY,SI,SIR,Open Cut,40.578965,-74.109704,St George,Tottenville
505,505,S27,SIR,Staten Island,GRASMERE,SI,SIR,Open Cut,40.603117,-74.084087,St George,Tottenville
465,610,723,IRT,Flushing,GRD CNTRL-42 ST,M,7,Subway,40.751431,-73.976041,Queens,34 St - Hudson Yards
